26,137,168
38,79,152
54,140,124
55,54,53
56,102,174
56,54,54
62,144,71
63,63,66
82,69,57
82,99,73
83,124,157
88,89,91
88,91,94
91,113,70
92,183,168
93,84,79
94,119,147
97,65,113
118,128,177
119,109,102
119,87,74
120,123,127
123,62,90
127,92,63
127,93,96
129,129,127
132,110,114
142,136,131
145,133,117
146,140,134
147,181,61
148,125,103
157,162,164
159,124,87
161,137,123
161,48,63
164,141,128
164,142,125
164,163,174
