26,137,168
38,79,152
54,140,124
55,54,53
56,102,174
56,54,54
62,144,71
63,63,66
82,69,57
82,99,73
83,124,157
88,89,91
88,91,94
91,113,70
92,183,168
93,84,79
94,119,147
97,65,113
118,128,177
119,109,102
119,87,74
120,123,127
123,62,90
127,92,63
127,93,96
129,129,127
132,110,114
142,136,131
145,133,117
146,140,134
147,181,61
148,125,103
157,162,164
159,124,87
161,137,123
161,48,63
164,141,128
164,142,125
164,163,174
166,136,120
169,144,163
171,173,168
176,52,66
178,158,144
184,144,136
185,126,98
185,170,159
187,81,136
188,184,175
190,144,132
190,80,97
193,197,198
199,140,127
200,164,149
203,177,136
208,191,186
211,168,134
213,178,156
215,212,206
216,120,61
221,159,57
227,194,46
229,203,182
235,235,230
